package_id,name,segment,relevance,installs_display,rating_display,reviews_display,contains_ads,has_in_app_purchases,updated_on,short_description,source_url
li.songe.gkd,GKD - 自定义屏幕点击应用,rule_engine,closest_chinese_splash_ad_rule_engine,50K+,4.8,472,False,False,"May 20, 2026","Customized screen click Android app based on accessibility, advanced selectors, subscription rules",https://play.google.com/store/apps/details?id=li.songe.gkd&hl=en&gl=US
net.airplanez.android.adskip,AD Jump : auto skip ads,accessibility_skip_and_mute,current_free_ad_supported_comparator,100K+,3.5,3K,True,False,"Aug 28, 2025","Skip ads, mute ads automatically!",https://play.google.com/store/apps/details?id=net.airplanez.android.adskip&hl=en&gl=US
com.candlelight.adskipper,Skip Ad: Skip|Mute|Block Ad,accessibility_skip_and_mute,current_small_comparator,10K+,3.4,233,False,False,"Jul 26, 2024",A easy way to skip annoying video apps ads and auto close ads on YOUR PHONE!,https://play.google.com/store/apps/details?id=com.candlelight.adskipper&hl=en&gl=US
com.evolvarc.adskipper,AdSkipper: Auto Skip Ads,accessibility_skip,recent_small_comparator,1K+,3.4,39,False,False,"Mar 15, 2026",Skip video ads automatically.,https://play.google.com/store/apps/details?id=com.evolvarc.adskipper&hl=en&gl=US
com.mavenkalabs.adskipper,Ad Skipper,accessibility_skip_and_mute,current_free_large_comparator,100K+,3.2,415,False,False,"May 14, 2026",Mute ads and automatically click Skip Ads button in certain video and audio apps,https://play.google.com/store/apps/details?id=com.mavenkalabs.adskipper&hl=en&gl=US
decemberpei.gmail.adskipper,AdSkipper,accessibility_skip,current_mid_size_comparator,50K+,4.4,861,False,False,"Aug 31, 2025","automatically click the ""skip"" button when your phone is showing an AD",https://play.google.com/store/apps/details?id=decemberpei.gmail.adskipper&hl=en&gl=US
com.kw.skipify,Skipify–Auto Skip Video Ads,freemium_lifetime_unlock,only_observed_explicit_paid_anchor,1K+,4.5,40,False,True,"Jan 4, 2026",Auto-skip Video ads fast with 6 free skips daily. Upgrade for unlimited skips.,https://play.google.com/store/apps/details?id=com.kw.skipify&hl=en&gl=US
com.rhaon.ad_skip,Ad Skip,ad_supported_skip,stale_ad_supported_comparator,10K+,3.3,641,True,False,"Oct 17, 2022",You can spend time efficiently by reducing the amount of time you see ads.,https://play.google.com/store/apps/details?id=com.rhaon.ad_skip&hl=en&gl=US
skip.ads.pro,Skip Ads Pro,ad_supported_skip_and_mute,stale_ad_supported_comparator,10K+,3.2,171,True,False,"Nov 3, 2022","This app is not an ad blocker! This app only works to skip, mute ads on videos.",https://play.google.com/store/apps/details?id=skip.ads.pro&hl=en&gl=US
bluepie.ad_silence,Ad-silence - OpenSource,open_source_mute,adjacent_audio_ad_comparator,100K+,3.8,408,False,False,"Jan 10, 2026","Mute Ads from Accuradio, Spotify, Soundcloud, Pandora, or Any App.",https://play.google.com/store/apps/details?id=bluepie.ad_silence&hl=en&gl=US
