snapshot_at,country,segment,relevance,track_name,bundle_id,track_id,artist_name,formatted_price,average_user_rating,user_rating_count,version,current_version_release_date,minimum_os_version,track_view_url
2026-08-22T11:20:29.275228+00:00,cn,deep_link_launch_bypass,closest_splash_and_shake_launch_path_substitute,开屏弃,com.twostones.adblocker,6772937977,元宁 秦,免费,4.73332,15,1.5,2026-07-24T17:32:12Z,17.0,https://apps.apple.com/cn/app/%E5%BC%80%E5%B1%8F%E5%BC%83/id6772937977?uo=4
2026-08-22T11:20:29.275228+00:00,cn,shortcuts_post_jump_return,closest_configured_mistouch_recovery_substitute,别跳-防误触跳转工具,com.app.nojump,6755753217,Ruilin Wang,免费,4.64706,102,1.0.3,2026-04-15T18:55:48Z,18.0,https://apps.apple.com/cn/app/%E5%88%AB%E8%B7%B3-%E9%98%B2%E8%AF%AF%E8%A7%A6%E8%B7%B3%E8%BD%AC%E5%B7%A5%E5%85%B7/id6755753217?uo=4
2026-08-22T11:20:29.275228+00:00,cn,dns_vpn_https_filter,china_system_wide_network_filter_claim,Jinx - 极简广告拦截与隐私保护,com.appstudio.Jinx,6755475735,鹏 唐,免费,4.42927,1626,4.8.1,2026-08-19T05:36:27Z,15.0,https://apps.apple.com/cn/app/jinx-%E6%9E%81%E7%AE%80%E5%B9%BF%E5%91%8A%E6%8B%A6%E6%88%AA%E4%B8%8E%E9%9A%90%E7%A7%81%E4%BF%9D%E6%8A%A4/id6755475735?uo=4
2026-08-22T11:20:29.275228+00:00,us,safari_and_dns_filter,mature_safari_and_system_dns_comparator,AdGuard Ad Blocker for Safari,com.adguard.AdguardExtension,1047223162,Adguard Software Limited,Free,4.32074,18825,4.5.21,2026-07-01T14:43:10Z,13.0,https://apps.apple.com/us/app/adguard-ad-blocker-for-safari/id1047223162?uo=4
2026-08-22T11:20:29.275228+00:00,us,safari_and_dns_filter_paid_sku,upfront_price_anchor_for_adguard_family,AdGuard Pro: Safari Ad Blocker,com.adguard.AdguardPro,1126386264,Adguard Software Limited,$9.99,4.4093,3049,4.5.21,2026-07-01T14:43:26Z,13.0,https://apps.apple.com/us/app/adguard-pro-safari-ad-blocker/id1126386264?uo=4
2026-08-22T11:20:29.275228+00:00,us,safari_content_blocker,mature_safari_comparator,1Blocker: Ad Blocker,com.khanov.BlockerX,1365531024,1Blocker LLC,Free,4.49679,12778,6.6.2,2026-08-18T07:34:34Z,16.0,https://apps.apple.com/us/app/1blocker-ad-blocker/id1365531024?uo=4
2026-08-22T11:20:29.275228+00:00,us,local_firewall_and_vpn,all_app_domain_firewall_comparator,Lockdown Privacy: AdBlock VPN,com.confirmed.lockdown,1469783711,CELESTIAN GOLDEN APPS,Free,4.28862,9781,2.4.5,2026-08-14T09:57:43Z,15.6,https://apps.apple.com/us/app/lockdown-privacy-adblock-vpn/id1469783711?uo=4
2026-08-22T11:20:29.275228+00:00,us,dns_filter_and_vpn,all_app_dns_comparator,Ad Blocker VPN & DNS – Blokada,net.blocka.app,1508341781,Blocka AB,Free,3.90058,9475,26.2.22,2026-06-25T06:14:13Z,15.0,https://apps.apple.com/us/app/ad-blocker-vpn-dns-blokada/id1508341781?uo=4
2026-08-22T11:20:29.275228+00:00,us,encrypted_dns_filter,system_wide_domain_filter_comparator,NextDNS,io.nextdns.NextDNS,1463342498,nextdns Inc.,Free,4.48144,1670,3.2.1,2026-07-26T16:21:55Z,18.0,https://apps.apple.com/us/app/nextdns/id1463342498?uo=4
2026-08-22T11:20:29.275228+00:00,us,safari_and_network_filter,indie_upfront_paid_comparator,Wipr 2,site.kaylees.Wipr2,1662217862,Kaylee Calderolla,$4.99,4.674,1273,2.36,2026-08-19T19:41:22Z,17.0,https://apps.apple.com/us/app/wipr-2/id1662217862?uo=4
2026-08-22T11:20:29.275228+00:00,us,local_dns_proxy_and_safari,legacy_upfront_paid_comparator,AdBlock,com.futuremind.adblock,691121579,AdBlock Labs,$1.99,4.29676,34001,4.7.3,2021-07-27T17:46:09Z,12.0,https://apps.apple.com/us/app/adblock/id691121579?uo=4
2026-08-22T11:20:29.275228+00:00,us,safari_content_blocker,large_rating_count_safari_comparator,AdBlock Pro for Safari,com.samuellaska.AdBuster,1018301773,Crypto Inc.,Free,4.47283,72327,12.4.0,2026-07-24T17:09:48Z,12.2,https://apps.apple.com/us/app/adblock-pro-for-safari/id1018301773?uo=4
