card_id	normal_effect_summary	golden_effect_summary
ICC_038	嘲讽；首个受到的伤害由圣盾抵消	嘲讽；首个受到的伤害由圣盾抵消
CFM_315	打出时向己方战场放入一只1/1雌斑虎	打出时向己方战场放入一只2/2雌斑虎
CS2_065	具有嘲讽，优先成为普通攻击目标	具有嘲讽，优先成为普通攻击目标
BOT_445	死亡后留下一个1/1机械袋鼠宝宝	死亡后留下一个2/2机械袋鼠宝宝
EX1_509	每次己方鱼人被召唤，自身攻击力增加1	每次己方鱼人被召唤，自身攻击力增加2
OG_221	死亡时随机给一名友军加圣盾	死亡时随机给两名友军加圣盾
EX1_162	左右紧邻友军各得到1点攻击力光环	左右紧邻友军各得到2点攻击力光环
LOOT_013	嘲讽；打出时己方英雄损失2点生命	嘲讽；打出时己方英雄损失2点生命
BGS_027	每次新回合开始，自身攻击力永久增加1	每次新回合开始，自身攻击力永久增加2
EX1_506	打出时向己方战场放入一个1/1鱼人斥候	打出时向己方战场放入一个2/2鱼人斥候
BGS_004	每打出一名恶魔，己方英雄失去1生命且本卡增加2/2	每打出一名恶魔，己方英雄失去1生命且本卡增加4/4
UNG_073	打出时指定一名己方鱼人，使其增加1/1	打出时指定一名己方鱼人，使其增加2/2
OG_256	死亡时所有己方随从增加1/1	死亡时所有己方随从增加2/2
KAR_005	死亡后召出一只3/2大灰狼	死亡后召出一只6/4大灰狼
BGS_001	打出时指定一名己方恶魔，使其增加2/2	打出时指定一名己方恶魔，使其增加4/4
BGS_028	打出时按本局此前打出的同名兔数量，每只给本体增加2/2	打出时按本局此前打出的同名兔数量，每只给本体增加4/4
EX1_507	其他己方鱼人获得2点攻击力光环	其他己方鱼人获得4点攻击力光环
GIL_681	同时满足全部随从种族判定	同时满足全部随从种族判定
BGS_025	死亡时随机召出一名原卡费用为1的随从	死亡时随机召出两名原卡费用为1的随从
GVG_085	同时具有嘲讽与圣盾	同时具有嘲讽与圣盾
EX1_062	具有冲锋；战场每有一名其他鱼人，自身攻击力增加1	具有冲锋；战场每有一名其他鱼人，自身攻击力增加2
CFM_316	死亡时按当时攻击力数值召出等量1/1狂鼠	死亡时按当时攻击力数值召出等量2/2狂鼠
EX1_556	死亡后召出一具2/1损坏傀儡	死亡后召出一具4/2损坏傀儡
EX1_531	每有一名己方野兽死亡，本体增加2攻击和1生命	每有一名己方野兽死亡，本体增加4攻击和2生命
BOT_606	死亡时随机对一名敌军随从造成4伤害	死亡时分别结算两次随机4伤害
GVG_048	打出时其他己方机械各增加2攻击	打出时其他己方机械各增加4攻击
GVG_058	圣盾可抵消首次受到的伤害	圣盾可抵消首次受到的伤害
KAR_095	打出时分别随机选一名己方野兽、龙、鱼人，各增加1/1	打出时分别随机选一名己方野兽、龙、鱼人，各增加2/2
AT_121	每打出一名带战吼的随从，本体增加1/1	每打出一名带战吼的随从，本体增加2/2
OG_216	死亡后召出两只1/1蜘蛛	死亡后召出两只2/2蜘蛛
BRM_006	每次自身承受伤害且仍可触发，召出一名1/1小鬼	每次自身承受伤害且仍可触发，召出一名2/2小鬼
GVG_062	每次己方召唤机械，为本体补上圣盾	每次己方召唤机械，为本体补上圣盾
EX1_103	打出时其他己方鱼人各增加2生命	打出时其他己方鱼人各增加4生命
CFM_610	打出时所有己方恶魔各增加1/1	打出时所有己方恶魔各增加2/2
BGS_023	死亡时随机召出一名原卡费用为2的随从	死亡时随机召出两名原卡费用为2的随从
DS1_070	打出时给指定己方野兽增加2/2并赋予嘲讽	打出时给指定己方野兽增加4/4并赋予嘲讽
OG_145	同时具有嘲讽与圣盾	同时具有嘲讽与圣盾
DAL_575	己方卡牌效果产生的召唤数量乘2	己方卡牌效果产生的召唤数量乘3
BOT_312	磁力；死亡后召出三台1/1微型机器人	磁力；死亡后召出三台2/2微型机器人
BGS_017	己方每次召唤野兽时，给新野兽增加3攻击	己方每次召唤野兽时，给新野兽增加6攻击
GVG_055	打出时指定一名己方机械，使其增加2/2	打出时指定一名己方机械，使其增加4/4
ULD_179	己方嘲讽随从各获得2攻击力光环	己方嘲讽随从各获得4攻击力光环
BGS_029	留在手里时，每回合随机变成另一种随从	留在手里时，每回合随机变成另一种随从
BGS_002	每有一名己方恶魔死亡，随机对一名敌军随从造成3伤害	每有一名己方恶魔死亡，随机对一名敌军随从造成6伤害
UNG_037	嘲讽；死亡时随机给一名己方随从增加1/1	嘲讽；死亡时随机给一名己方随从增加2/2
EX1_093	打出时左右相邻的己方随从各增加1/1并获得嘲讽	打出时左右相邻的己方随从各增加2/2并获得嘲讽
LOOT_078	攻击主目标时，也对其左右相邻单位造成等量伤害	攻击主目标时，也对其左右相邻单位造成等量伤害
EX1_185	嘲讽；其他己方恶魔各获得1攻击力光环	嘲讽；其他己方恶魔各获得2攻击力光环
GVG_027	己方回合结束时，随机使另一台己方机械增加2/2	己方回合结束时，随机使另一台己方机械增加4/4
DAL_077	打出时指定一名己方鱼人，赋予剧毒	打出时指定一名己方鱼人，赋予剧毒
ICC_858	圣盾；每有己方随从失去圣盾，本体增加2攻击	圣盾；每有己方随从失去圣盾，本体增加4攻击
EX1_577	死亡后给对手战场召出一名3/3芬克·恩霍尔	死亡后给对手战场召出一名3/3芬克·恩霍尔
BOT_911	磁力；同时带有嘲讽与圣盾	磁力；同时带有嘲讽与圣盾
GIL_655	每有一名己方随从完成攻击，本体增加1攻击	每有一名己方随从完成攻击，本体增加2攻击
GVG_106	每有己方机械死亡，本体增加2/2	每有己方机械死亡，本体增加4/4
KAR_702	打出时分别随机选一名己方野兽、龙、鱼人，各增加2/2	打出时分别随机选一名己方野兽、龙、鱼人，各增加4/4
BGS_024	死亡时随机召出一名原卡费用为4的随从	死亡时随机召出两名原卡费用为4的随从
CFM_816	打出时指定一名己方野兽，使其增加2/2	打出时指定一名己方野兽，使其增加4/4
BOT_218	每次自身承受伤害且仍可触发，召出一台2/3嘲讽机械	每次自身承受伤害且仍可触发，召出一台4/6嘲讽机械
FP1_031	己方随从的亡语结算2遍	己方随从的亡语结算3遍
BGS_018	死亡时己方野兽各增加4/4	死亡时己方野兽各增加8/8
BGS_010	打出时按己方英雄已损失生命值，为本体增加相同生命	打出时按己方英雄已损失生命值的两倍，为本体增加生命
BOT_537	死亡后召出一台8/8机械暴龙	死亡后召出一台16/16机械暴龙
BGS_020	打出时若己方另有鱼人，发现一张鱼人牌	打出时若己方另有鱼人，连续发现两张鱼人牌
LOE_077	己方战吼结算2遍	己方战吼结算3遍
TRL_232	攻击造成超过击杀所需伤害时召出一只5/5铁皮小恐龙	攻击造成超过击杀所需伤害时召出一只10/10铁皮小恐龙
GVG_021	其他己方恶魔各增加2/2；己方英雄获得免疫	其他己方恶魔各增加4/4；己方英雄获得免疫
BGS_009	己方回合结束时，机械、鱼人、恶魔、野兽各随机选一名增加2/2	己方回合结束时，机械、鱼人、恶魔、野兽各随机选一名增加4/4
UNG_010	死亡后召出三个1/1鱼人	死亡后召出三个2/2鱼人
ICC_807	打出时己方所有嘲讽随从各增加2/2	打出时己方所有嘲讽随从各增加4/4
EX1_534	死亡后召出两只2/2土狼	死亡后召出两只4/4土狼
OG_300	自身攻击并击杀目标后，本体增加2/2	自身攻击并击杀目标后，本体增加4/4
BGS_012	死亡时重召本场战斗中最先死亡的两台己方机械	死亡时重召本场战斗中最先死亡的四台己方机械
BGS_031	打出时选择一次进化，所选强化施加给全部己方鱼人	打出时连续选择两次进化，每次选择施加给全部己方鱼人
LOOT_368	嘲讽；死亡后召出三个1/3嘲讽恶魔	嘲讽；死亡后召出三个2/6嘲讽恶魔
GVG_113	攻击主目标时，也对其左右相邻单位造成等量伤害	攻击主目标时，也对其左右相邻单位造成等量伤害
BGS_022	风怒；选攻击目标时优先寻找敌方最低攻击力单位	风怒；选攻击目标时优先寻找敌方最低攻击力单位
BGS_008	死亡时随机召出两名带亡语的随从	死亡时随机召出四名带亡语的随从
BGS_006	死亡时随机召出一名传说随从	死亡时随机召出两名传说随从
FP1_010	剧毒：造成非零伤害后消灭目标随从	剧毒：造成非零伤害后消灭目标随从
BGS_021	己方每次召唤野兽时，给新野兽增加5/5	己方每次召唤野兽时，给新野兽增加10/10
